dd/mm/yyyy,hh:mm:ss GMT,Series,Track,Laps
06/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
06/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
07/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,00:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,02:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,04:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,06:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,08:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,10:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,12:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,14:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,16:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,18:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,20:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
08/12/14,22:45:00,iRacing Spec Racer Ford Challenge,Mid-Ohio SportsCar Course,15
25/11/14,00:15:00,Skip Barber Race Series,Barber Motorsports Park,15
25/11/14,01:15:00,Skip Barber Race Series,Barber Motorsports Park,15
25/11/14,02:15:00,Skip Barber Race Series,Barber Motorsports Park,15
25/11/14,03:15:00,Skip Barber Race Series,Barber Motorsports Park,15
25/11/14,04:15:00,Skip Barber Race Series,Barber Motorsports Park,15
25/11/14,05:15:00,Skip Barber Race Series,Barber Motorsports Park,15
